"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4356","TC013_Add Opportunity Team Member","chromium","2026-04-15","passed","2026-04-15","","non-ida/03-oppty-mgmt.spec.js","",""
"","6208","TC004_Create CCA","chromium","2026-04-15","passed","2026-04-15","","non-ida/01-account-mgmt.spec.js","",""
"","11367","TC012_Update Sales Scenario and Credit Scoring","chromium","2026-04-15","passed","2026-04-15","","non-ida/03-oppty-mgmt.spec.js","",""
"","2352","TC001_View All My Leads","chromium","2026-04-15","passed","2026-04-15","","non-ida/02-lead-mgmt.spec.js","",""
"","5713","TC009_Convert Lead","chromium","2026-04-15","passed","2026-04-15","","non-ida/02-lead-mgmt.spec.js","",""
"","719","API Connection Test","chromium","2026-04-15","passed","2026-04-15","","non-ida/03-oppty-mgmt.spec.js","",""
"","8163","TC010_Managing my opportunity","chromium","2026-04-15","passed","2026-04-15","","non-ida/03-oppty-mgmt.spec.js","",""
"","5709","TC017_TC018_Update Score Card","chromium","2026-04-15","passed","2026-04-15","","non-ida/03-oppty-mgmt.spec.js","",""
"","6998","TC002_Create New Lead","chromium","2026-04-15","passed","2026-04-15","","non-ida/02-lead-mgmt.spec.js","",""
"","147","API Connection Test","chromium","2026-04-15","passed","2026-04-15","","non-ida/02-lead-mgmt.spec.js","",""
"","192","API Connection Test","chromium","2026-04-15","passed","2026-04-15","","non-ida/01-account-mgmt.spec.js","",""
"","8463","TC008_Update Lead Status","chromium","2026-04-15","passed","2026-04-15","","non-ida/02-lead-mgmt.spec.js","",""
"","4274","TC015_Update Credit Scoring","chromium","2026-04-15","passed","2026-04-15","","non-ida/03-oppty-mgmt.spec.js","",""
"","9151","TC005_Create CA under CCA","chromium","2026-04-15","passed","2026-04-15","","non-ida/01-account-mgmt.spec.js","",""
